# 各店 LINE VOOM 帳號頁——draw:voom 的掃描名單（`npm run draw:voom`）。
# 欄位: 店名<TAB>VOOM 帳號頁（linevoom.line.me/user/_d… 的 homeId 形式）
# 只能人工擴充：homeId 反查不到（@LINE-ID 版頁面 SSR 不帶貼文），
# 要加店就在 LINE app 開該店 VOOM →分享→複製連結，貼進來（店名須與 source-links.txt 一致）
天母三越	https://linevoom.line.me/user/_dXYFKzVX-ldfgeUOor_McfFTE_yJP7d54nPjxpQ
天母SOGO	https://linevoom.line.me/user/_db3MM1gifrvefmBbBLPWOhPAw0aPUL9K3IvLDTk
信義A8	https://linevoom.line.me/user/_dfItqTWWpJgcZPNYg_b3_xlBeXDhlwTDTicnfSU
板橋大遠百	https://linevoom.line.me/user/_dblyPGfsKpebVOKvBaP8gs72hysvg-G0EVYLyv4
南港LaLaport	https://linevoom.line.me/user/_dVgaAWKsM1ofi6bVa7iJV1_zOspCOrdSv0vgXKw
美麗華	https://linevoom.line.me/user/_dS6PecGuAayr8FMQ6NoCcETN1oXZ0zgwun4Uivc
板橋遠東	https://linevoom.line.me/user/_dUcATZnmDAam7Low6HB0-JXZC1DzUJEbh8hA8Gg
宏匯	https://linevoom.line.me/user/_dVPYhYlVfHYMMObafMonYQZCCX0kcQ56HqtZmHo
三越南西	https://linevoom.line.me/user/_dXRCeNI62-wxECClrgjwMfi8HnY2ow5Onw6aC1A
新店誠品	https://linevoom.line.me/user/_dWQGqQnQTk4Tc7wJjzrBXKS145vBC93TlHkNG5E
比漾廣場	https://linevoom.line.me/user/_dQbxr4jKpXDT3BtXULflBCgU9GujoUvNaAUOOZo
忠孝SOGO	https://linevoom.line.me/user/_dZR3EbkBX6ugUrxVH_Qo47n8xYDp-95FYmhlIWM
三越站前	https://linevoom.line.me/user/_dTQ_Ar8kG3TZeWoB_i2PtLW_TclZiMtldppUzAQ
高島屋	https://linevoom.line.me/user/_dfhvm3-8_klezJkCHLv3-mEhPQWOR9DGFr40SPA
信義A13	https://linevoom.line.me/user/_dZWTe6za3_22gXVkl46uAq37zC6nwkQQCwZnBoA
南港潤泰	https://linevoom.line.me/user/_dSeRV-7dSwPAS21zhFTEZS9TU0cjb1gBLwEML9A
